CO,Gas,Temp,Humidity,Pressure,Oxygen,Alert,Escape_Time
0.38,304.64,29.99,73.46,1012.86,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,307.96,29.99,73.47,1012.84,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,305.74,29.98,73.48,1012.85,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,303.55,29.98,73.5,1012.84,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,305.74,29.98,73.51,1012.82,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,295.97,29.97,73.52,1012.85,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,295.97,29.97,73.53,1012.85,19.14,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,292.77,29.97,73.55,1012.87,19.15,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,300.28,29.97,73.56,1012.86,19.19,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,303.55,29.97,73.58,1012.85,19.18,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,293.83,29.96,73.6,1012.85,19.18,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,293.83,29.96,73.61,1012.85,19.19,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,293.83,29.96,73.63,1012.85,19.21,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,294.9,29.95,73.64,1012.85,19.19,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,304.64,29.95,73.66,1012.85,19.17,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,301.36,29.95,73.68,1012.84,19.16,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,293.83,29.95,73.69,1012.83,19.16,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,299.19,29.95,73.7,1012.85,19.17,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,298.11,29.95,73.69,1012.85,19.17,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,295.97,29.95,73.7,1012.85,19.15,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,293.83,29.95,73.7,1012.86,19.15,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,294.9,29.95,73.7,1012.86,19.14,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,297.04,29.95,73.7,1012.86,19.13,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,294.9,29.95,73.7,1012.8,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,293.83,29.95,73.7,1012.79,19.14,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.35,289.61,29.95,73.71,1012.81,19.22,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,284.41,29.95,73.71,1012.83,19.32,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,288.56,29.95,73.72,1012.81,19.32,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,290.66,29.94,73.72,1012.8,19.25,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,284.41,29.94,73.73,1012.81,19.16,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.37,282.36,29.93,73.74,1012.8,19.15,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,281.33,29.93,73.75,1012.79,19.13,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,280.32,29.93,73.76,1012.8,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,260.64,29.92,73.77,1012.79,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,279.3,29.92,73.78,1012.8,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.32,260.64,29.92,73.79,1012.79,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.35,282.36,29.91,73.8,1012.81,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.36,260.64,29.92,73.8,1012.79,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
